127.0.0.1 - - [17/Nov/2022:22:19:48 +0900] "GET / HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /index.jsp HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /css/mainStyle.css HTTP/1.1" 200 6632
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /js/script.js HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/logo.png HTTP/1.1" 200 393615
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/slide1.png HTTP/1.1" 200 98140
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/slide2.png HTTP/1.1" 200 44112
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/gallery1.jpg HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/gallery3.jpg HTTP/1.1" 200 14722
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/gallery2.jpg HTTP/1.1" 200 11651
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/sns-youtube-on.svg HTTP/1.1" 200 5085
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/sns-facebook-on.svg HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:49 +0900] "GET /images/sns-instagram-on.svg HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:19:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:21:14 +0900] "GET /index.jsp HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:21:15 +0900] "GET /index.jsp HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:21:15 +0900] "GET /index.jsp HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:21:34 +0900] "GET /index.jsp HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:50:37 +0900] "GET /index.jsp HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [17/Nov/2022:22:50:39 +0900] "GET /images/youtube.png HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:00:44 +0900] "GET /index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:00:44 +0900] "GET /images/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:00:44 +0900] "GET /images/facebook.png HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:00:44 +0900] "GET /images/kakao.png HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:01:37 +0900] "GET /index.jsp HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:01:37 +0900] "GET /images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:01:37 +0900] "GET /images/kakao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:01:44 +0900] "GET /index.jsp HTTP/1.1" 200 5630
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:01:44 +0900] "GET /images/kakao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:01:45 +0900] "GET /index.jsp HTTP/1.1" 200 5630
0:0:0:0:0:0:0:1 - - [17/Nov/2022:23:01:46 +0900] "GET /index.jsp HTTP/1.1" 200 5630
