127.0.0.1 - - [03/Jan/2023:20:43:25 +0900] "GET / HTTP/1.1" 200 5766
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /index.jsp HTTP/1.1" 200 5766
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /css/mainStyle.css HTTP/1.1" 200 9257
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /js/jquery-3.1.1.min.js HTTP/1.1" 200 86713
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /js/script.js HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /images/logo.png HTTP/1.1" 200 393615
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /images/slide1.png HTTP/1.1" 200 98140
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /images/facebook.png HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /images/slide2.png HTTP/1.1" 200 44112
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /images/kakao.png HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /images/youtube.png HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [03/Jan/2023:20:43:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
